x,y,h_mean
706914.9573,5360690.65,603.8136209
710090.6739,5361232.959,500.0248424
713262.6004,5361794.977,465.799068
710088.0646,5361252.826,500.8113613
706912.2348,5360710.502,607.650112
713259.9298,5361814.835,466.0414914
710085.4552,5361272.693,501.0807576
706909.5082,5360730.355,610.2762129
710082.8338,5361292.558,501.2678212
706906.7779,5360750.206,613.7487729
710080.1953,5361312.421,501.5266805
706904.0435,5360770.057,619.4041883
713251.8882,5361874.197,466.4880077
710077.5631,5361332.055,501.7334699
706901.3086,5360789.908,624.4486986
713249.1568,5361894.255,466.7243764
710074.9051,5361351.851,501.4959636
706898.5761,5360809.759,628.5857129
713246.5056,5361913.748,466.732853
710072.2063,5361372,496.5696369
706895.8496,5360829.611,632.2160031
713243.7865,5361933.764,466.7071627
710069.5047,5361391.855,496.3432219
706893.1301,5360849.464,635.6216255
713241.0667,5361953.819,466.6206409
706890.4205,5360869.319,639.3699074
713238.3754,5361973.674,466.6016107
710064.0528,5361431.558,497.5656519
706887.7198,5360889.174,643.409013
713235.7398,5361993.326,466.1061663
710061.3173,5361451.408,498.1545886
706885.0328,5360909.032,647.6755351
713233.0761,5362013.246,465.6505683
710058.5778,5361471.258,498.6732923
706882.3566,5360928.89,652.2090025
713230.3964,5362033.254,465.4055158
710055.8364,5361491.107,498.7309991
706879.6892,5360948.75,657.0761399
713227.7314,5362053.112,465.2701749
706877.0304,5360968.611,662.3247993
713225.0557,5362072.97,465.279389
710050.392,5361530.483,498.9439155
706874.3783,5360988.473,665.1635352
713222.3716,5362092.826,465.3434228
706871.7291,5361008.335,664.7839344
713219.669,5362112.679,465.9608774
710044.95,5361569.915,498.8581729
706869.0811,5361028.198,664.0936811
713216.9327,5362132.529,467.2836844
710042.1849,5361589.879,500.5308503
706866.5374,5361047.324,665.0724496
713214.1775,5362152.376,468.4374253
710039.3455,5361610.198,506.6865074
713211.4369,5362172.225,468.3487717
706861.2871,5361086.704,669.3060893
713208.6998,5362192.074,468.3320747
706858.538,5361107.18,672.5557318
713205.9722,5362211.925,468.2637987
706855.7977,5361127.505,674.9744569
706853.1004,5361147.36,675.8697165
710028.3366,5361689.59,541.4399921
713200.6524,5362250.807,468.4454924
706850.3842,5361167.214,674.8817263
710025.6673,5361709.449,543.1245427
706847.6424,5361187.064,670.1625175
710023.0292,5361729.312,544.795481
713195.2192,5362291.348,467.937634
706844.8804,5361206.911,662.5282452
710020.3985,5361749.176,547.1747954
713192.5717,5362311.209,467.8352167
706842.1058,5361226.757,654.2673946
710017.761,5361769.039,550.364764
713189.9092,5362331.068,468.2340619
706839.323,5361246.601,645.5535795
710015.1121,5361788.901,554.1839363
713187.2309,5362350.925,468.52954
706836.5355,5361266.445,635.0711085
